== independent tame DFS: k=4, pos(v) <= floor(9*v/5), maxdepth=40 ==
n           count        dead
1                  1           0
2                  1           0
3                  2           0
4                  3           0
5                  8           0
6                 17           0
7                 33           1
8                 84           1
9                357         147
10               546         111
11              1104         108
12              2615         451
13              6670        1033
14             21212        6036
15             50625       11400
16            116231       65184
17            173472       91077
18            263480      158046
19            325212      169818
20            616446      245837
21           1143503      732203
22           1071618      690254
23           1412677      934010
24           1800837     1179561
25           2349037     1370095
26           4325876     3191031
27           4861848     2834410
28           7036940     4311093
29          10084845     6439126
30          10190476     8482466
31           7385734     6400997
32           2988131     2754032
33            776931      776931
34                 0           0
EXTINCT at n=34
total nodes visited: 57006572
