pysat base3 N=86: SAT (0.2s)
pysat base3 N=87: UNSAT (0.2s), initial core: 393 APs
minimal (irreducible) core: 245 APs
  x=  5 d= 15 terms=[5, 20, 35, 50] blocks=[1, 2, 3, 3]
  x=  2 d= 16 terms=[2, 18, 34, 50] blocks=[0, 2, 3, 3]
  x=  6 d= 15 terms=[6, 21, 36, 51] blocks=[1, 2, 3, 3]
  x=  3 d= 16 terms=[3, 19, 35, 51] blocks=[1, 2, 3, 3]
  x= 43 d=  3 terms=[43, 46, 49, 52] blocks=[3, 3, 3, 3]
  x= 40 d=  4 terms=[40, 44, 48, 52] blocks=[3, 3, 3, 3]
  x= 34 d=  6 terms=[34, 40, 46, 52] blocks=[3, 3, 3, 3]
  x= 28 d=  8 terms=[28, 36, 44, 52] blocks=[3, 3, 3, 3]
  x=  7 d= 15 terms=[7, 22, 37, 52] blocks=[1, 2, 3, 3]
  x=  4 d= 16 terms=[4, 20, 36, 52] blocks=[1, 2, 3, 3]
  x= 41 d=  4 terms=[41, 45, 49, 53] blocks=[3, 3, 3, 3]
  x= 35 d=  6 terms=[35, 41, 47, 53] blocks=[3, 3, 3, 3]
  x= 32 d=  7 terms=[32, 39, 46, 53] blocks=[3, 3, 3, 3]
  x= 29 d=  8 terms=[29, 37, 45, 53] blocks=[3, 3, 3, 3]
  x=  8 d= 15 terms=[8, 23, 38, 53] blocks=[1, 2, 3, 3]
  x=  5 d= 16 terms=[5, 21, 37, 53] blocks=[1, 2, 3, 3]
  x= 45 d=  3 terms=[45, 48, 51, 54] blocks=[3, 3, 3, 3]
  x= 36 d=  6 terms=[36, 42, 48, 54] blocks=[3, 3, 3, 3]
  x= 30 d=  8 terms=[30, 38, 46, 54] blocks=[3, 3, 3, 3]
  x= 27 d=  9 terms=[27, 36, 45, 54] blocks=[3, 3, 3, 3]
  x=  6 d= 16 terms=[6, 22, 38, 54] blocks=[1, 2, 3, 3]
  x=  3 d= 17 terms=[3, 20, 37, 54] blocks=[1, 2, 3, 3]
  x= 46 d=  3 terms=[46, 49, 52, 55] blocks=[3, 3, 3, 3]
  x= 34 d=  7 terms=[34, 41, 48, 55] blocks=[3, 3, 3, 3]
  x= 31 d=  8 terms=[31, 39, 47, 55] blocks=[3, 3, 3, 3]
  x= 28 d=  9 terms=[28, 37, 46, 55] blocks=[3, 3, 3, 3]
  x=  7 d= 16 terms=[7, 23, 39, 55] blocks=[1, 2, 3, 3]
  x=  4 d= 17 terms=[4, 21, 38, 55] blocks=[1, 2, 3, 3]
  x=  1 d= 18 terms=[1, 19, 37, 55] blocks=[0, 2, 3, 3]
  x= 47 d=  3 terms=[47, 50, 53, 56] blocks=[3, 3, 3, 3]
  x= 38 d=  6 terms=[38, 44, 50, 56] blocks=[3, 3, 3, 3]
  x= 32 d=  8 terms=[32, 40, 48, 56] blocks=[3, 3, 3, 3]
  x=  8 d= 16 terms=[8, 24, 40, 56] blocks=[1, 2, 3, 3]
  x= 42 d=  5 terms=[42, 47, 52, 57] blocks=[3, 3, 3, 3]
  x= 36 d=  7 terms=[36, 43, 50, 57] blocks=[3, 3, 3, 3]
  x= 33 d=  8 terms=[33, 41, 49, 57] blocks=[3, 3, 3, 3]
  x= 30 d=  9 terms=[30, 39, 48, 57] blocks=[3, 3, 3, 3]
  x= 27 d= 10 terms=[27, 37, 47, 57] blocks=[3, 3, 3, 3]
  x=  6 d= 17 terms=[6, 23, 40, 57] blocks=[1, 2, 3, 3]
  x=  3 d= 18 terms=[3, 21, 39, 57] blocks=[1, 2, 3, 3]
  x= 49 d=  3 terms=[49, 52, 55, 58] blocks=[3, 3, 3, 3]
  x= 43 d=  5 terms=[43, 48, 53, 58] blocks=[3, 3, 3, 3]
  x= 34 d=  8 terms=[34, 42, 50, 58] blocks=[3, 3, 3, 3]
  x= 31 d=  9 terms=[31, 40, 49, 58] blocks=[3, 3, 3, 3]
  x= 28 d= 10 terms=[28, 38, 48, 58] blocks=[3, 3, 3, 3]
  x=  7 d= 17 terms=[7, 24, 41, 58] blocks=[1, 2, 3, 3]
  x=  4 d= 18 terms=[4, 22, 40, 58] blocks=[1, 2, 3, 3]
  x=  1 d= 19 terms=[1, 20, 39, 58] blocks=[0, 2, 3, 3]
  x= 44 d=  5 terms=[44, 49, 54, 59] blocks=[3, 3, 3, 3]
  x= 32 d=  9 terms=[32, 41, 50, 59] blocks=[3, 3, 3, 3]
  x= 29 d= 10 terms=[29, 39, 49, 59] blocks=[3, 3, 3, 3]
  x=  5 d= 18 terms=[5, 23, 41, 59] blocks=[1, 2, 3, 3]
  x= 51 d=  3 terms=[51, 54, 57, 60] blocks=[3, 3, 3, 3]
  x= 48 d=  4 terms=[48, 52, 56, 60] blocks=[3, 3, 3, 3]
  x= 39 d=  7 terms=[39, 46, 53, 60] blocks=[3, 3, 3, 3]
  x= 33 d=  9 terms=[33, 42, 51, 60] blocks=[3, 3, 3, 3]
  x= 30 d= 10 terms=[30, 40, 50, 60] blocks=[3, 3, 3, 3]
  x= 27 d= 11 terms=[27, 38, 49, 60] blocks=[3, 3, 3, 3]
  x=  6 d= 18 terms=[6, 24, 42, 60] blocks=[1, 2, 3, 3]
  x=  3 d= 19 terms=[3, 22, 41, 60] blocks=[1, 2, 3, 3]
  x= 34 d=  9 terms=[34, 43, 52, 61] blocks=[3, 3, 3, 3]
  x= 31 d= 10 terms=[31, 41, 51, 61] blocks=[3, 3, 3, 3]
  x= 28 d= 11 terms=[28, 39, 50, 61] blocks=[3, 3, 3, 3]
  x=  7 d= 18 terms=[7, 25, 43, 61] blocks=[1, 2, 3, 3]
