# 2497 distinct multisets of maximal run lengths
# count  multiset
112 5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
112 5,3,3,3,3,2,2,2,2,2,2,2,2,2
111 5,4,3,3,2,2,2,2,2,2,2,2,2,2
108 4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2
107 4,4,3,2,2,2,2,2,2,2,2,2,2,2,2
106 4,3,3,2,2,2,2,2,2,2,2,2
106 4,3,3,3,2,2,2,2,2,2,2,2
104 5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
102 3,3,3,3,3,2,2,2,2,2,2,2,2
102 4,4,3,3,3,3,3,2,2,2,2,2,2,2,2
101 3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
101 5,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
100 4,3,2,2,2,2,2,2,2,2,2,2,2
100 4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
97 5,3,3,3,2,2,2,2,2,2,2,2,2
93 3,3,3,2,2,2,2,2,2,2,2,2
93 4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
91 4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
91 5,3,3,3,3,3,2,2,2,2,2,2,2,2,2
91 5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
90 3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
90 5,4,3,3,3,3,2,2,2,2,2,2,2,2,2
88 3,2,2,2,2,2,2,2,2,2,2,2,2,2
87 4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
87 5,3,3,2,2,2,2,2,2,2,2,2,2
86 5,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
86 5,4,3,2,2,2,2,2,2,2,2,2,2,2,2
86 5,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2
86 5,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
83 3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
83 3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
82 4,3,3,3,3,3,2,2,2,2,2,2,2
81 4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
80 3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
78 4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
77 5,4,3,3,3,3,2,2,2,2,2,2,2,2
76 5,3,3,3,3,2,2,2,2,2,2,2,2
75 4,3,3,3,3,2,2,2,2,2,2,2
75 5,3,2,2,2,2,2,2,2,2,2,2,2,2
72 5,4,3,2,2,2,2,2,2,2,2,2,2,2
72 5,4,3,3,2,2,2,2,2,2,2,2,2
71 3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
70 4,4,3,3,3,3,2,2,2,2,2,2,2
69 3,3,3,3,3,3,2,2,2,2,2,2,2,2
69 5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
68 4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
68 4,4,3,2,2,2,2,2,2,2,2,2,2
67 5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
65 5,3,2,2,2,2,2,2,2,2,2,2,2
65 5,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
64 4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2
64 4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2
64 5,4,3,3,3,2,2,2,2,2,2,2,2
64 6,3,3,3,2,2,2,2,2,2,2,2,2,2,2
63 3,2,2,2,2,2,2,2,2,2,2,2,2
63 4,4,4,3,3,3,2,2,2,2,2,2,2,2,2
63 5,3,2,2,2,2,2,2,2,2,2,2,2,2,2
63 5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2
62 3,3,2,2,2,2,2,2,2,2,2,2
62 4,3,3,3,3,3,3,2,2,2,2,2,2,2
62 4,4,3,3,2,2,2,2,2,2,2,2
61 4,3,2,2,2,2,2,2,2,2,2,2
61 5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
60 4,3,3,2,2,2,2,2,2,2,2
60 4,4,4,3,3,2,2,2,2,2,2,2,2,2,2
60 5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2
59 3,3,3,3,2,2,2,2,2,2,2,2
58 5,4,4,3,3,3,2,2,2,2,2,2,2,2,2
57 5,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
57 5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2
56 5,3,3,3,3,3,2,2,2,2,2,2,2,2
56 5,4,3,2,2,2,2,2,2,2,2,2,2
55 3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
52 5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
51 3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
51 4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
51 6,3,3,2,2,2,2,2,2,2,2,2,2,2,2
50 4,4,3,3,3,2,2,2,2,2,2,2
50 5,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
50 5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2
49 4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
49 5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
48 3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
48 5,3,3,2,2,2,2,2,2,2,2,2
48 5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
47 5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
47 5,4,4,3,3,2,2,2,2,2,2,2,2,2
47 6,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2
46 3,3,3,3,3,3,2,2,2,2,2,2,2
46 4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
46 4,4,3,3,3,3,3,2,2,2,2,2,2,2
46 5,4,4,3,3,2,2,2,2,2,2,2,2,2,2
46 6,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
44 3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
44 5,4,3,2,2,2,2,2,2,2,2,2
44 6,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
43 4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
43 4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2
43 4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2
43 4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2
43 5,4,3,3,2,2,2,2,2,2,2,2
43 5,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
42 4,3,3,3,3,3,2,2,2,2,2,2
42 5,4,3,3,3,2,2,2,2,2,2,2
42 5,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2
42 6,3,3,2,2,2,2,2,2,2,2,2,2,2
42 6,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
42 6,4,3,3,3,2,2,2,2,2,2,2,2,2,2
41 3,2,2,2,2,2,2,2,2,2,2,2
41 4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
41 4,4,4,3,3,2,2,2,2,2,2,2,2,2
41 5,3,3,3,2,2,2,2,2,2,2,2
41 6,3,3,3,3,2,2,2,2,2,2,2,2,2
40 4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2
40 6,3,3,3,2,2,2,2,2,2,2,2,2,2
