# Erdos 289, route-A verified certificates: legal U (no isolated point, min>=2)
# with sum_{n in U} 1/n = 1 exactly.  Format:  r  M  max | elements
# r = #maximal runs, M = sum_i floor(L_i/2).  P(k) holds for r <= k <= M.
# All lines re-checked by verify.py (Fraction) and by integer lcm arithmetic.
 9 10 105 | 6 7 9 10 11 12 19 20 35 36 56 57 65 66 76 77 78 90 91 104 105
 9  9 105 | 5 6 10 11 14 15 18 19 20 56 57 65 66 76 77 78 90 91 104 105
 9 10 105 | 8 9 11 12 13 14 17 18 19 33 34 35 39 40 55 56 57 76 77 78 84 85 104 105
 9 10 105 | 7 8 9 10 14 15 17 18 27 28 34 35 36 54 55 65 66 84 85 104 105
 9 10 105 | 8 9 10 11 13 14 15 17 18 33 34 35 39 40 55 56 77 78 84 85 104 105
 9 11 105 | 9 10 11 12 13 14 15 20 21 27 28 32 33 38 39 54 55 76 77 78 95 96 104 105
 9 11 105 | 7 8 9 10 13 14 20 21 25 26 27 28 54 55 77 78 90 91 99 100 104 105
 9  9 105 | 4 5 9 10 18 19 35 36 44 45 55 56 57 65 66 76 77 104 105
 9 12 105 | 9 10 11 13 14 17 18 19 20 26 27 33 34 35 36 54 55 56 57 76 77 84 85 104 105
 9 10 105 | 8 9 10 12 13 14 20 21 24 25 26 27 28 54 55 56 77 78 90 91 99 100 104 105
10 10 105 | 7 8 13 14 15 17 18 20 21 22 26 27 33 34 44 45 54 55 84 85 104 105
10 10 105 | 5 6 13 14 17 18 21 22 26 27 33 34 44 45 54 55 56 84 85 104 105
10 10 105 | 4 5 13 14 21 22 24 25 26 35 36 44 45 77 78 90 91 99 100 104 105
10 11 105 | 8 9 11 12 13 14 17 18 26 27 28 33 34 35 54 55 77 78 84 85 90 91 104 105
10 10 105 | 8 9 10 13 14 17 18 19 24 25 26 34 35 36 55 56 57 76 77 84 85 99 100 104 105
10 12 105 | 7 8 12 13 19 20 21 24 25 26 27 28 35 36 54 55 56 57 76 77 78 90 91 99 100 104 105
10 11 105 | 8 9 10 13 14 17 18 19 20 34 35 36 39 40 44 45 56 57 76 77 78 84 85 104 105
10 12 105 | 6 7 12 13 19 20 21 25 26 27 28 35 36 54 55 56 57 76 77 78 90 91 99 100 104 105
10 10 105 | 6 7 8 11 12 17 18 20 21 34 35 65 66 77 78 84 85 90 91 104 105
10 10 105 | 6 7 10 11 13 14 20 21 32 33 38 39 40 55 56 76 77 78 95 96 104 105
10 10 105 | 7 8 10 11 13 14 15 20 21 32 33 38 39 55 56 76 77 78 95 96 104 105
10 11 105 | 6 7 13 14 18 19 20 21 22 24 25 39 40 44 45 56 57 76 77 78 99 100 104 105
10 10 105 | 5 6 12 13 14 21 22 24 25 26 35 36 44 45 77 78 90 91 99 100 104 105
