== tame DFS: k=4, constraint pos(v) <= floor(num*v/den), depth<=64, budget=100000000 ==
   (num=7 den=4)
n         tame_count    tame_dead maxbranch
1                  1            0        1
2                  1            0        2
3                  2            0        2
4                  3            0        4
5                  8            0        5
6                 17            0        5
7                 33            1        6
8                 84            7        8
9                220           88        7
10               324          105        7
11               575           23        9
12              1440          422        9
13              3300          479       11
14             10097         2864       10
15             24461        17114       11
16             21152        13635       12
17             22481        14116       13
18             27148        17659       10
19             22219        13486       11
20             22599         9387       11
21             43307        19934       11
22             77178        56818        9
23             64767        33060       13
24            102102        83987       11
25             77122        46406       12
26            136037       113611        8
27            104658        57494        5
28            146238       103478        5
29            122946       120742        4
30              6472         6472        0
31                 0            0        0
EXTINCT at n=31 (no tame avoiders)
total nodes visited: 1036992
