== tame DFS: k=4, constraint pos(v) <= floor(num*v/den), depth<=64, budget=60000000000 ==
   (num=15 den=8)
n         tame_count    tame_dead maxbranch
1                  1            0        1
2                  1            0        2
3                  2            0        2
4                  3            0        4
5                  8            0        5
6                 17            0        5
7                 33            1        6
8                 84            1        8
9                357          147        7
10               546            9       10
11              1633          151       11
12              4206         1113       11
13             10394         1561       13
14             35174         5244       14
15            109009        31782       13
16            265880       150730       14
17            394735       188434       15
18            717016       435075       14
19            882426       192108       16
20           2424620       790234       15
21           5902186      2621365       16
22          10080993      5204718       18
23          16868496      7921487       19
24          38141297     19700887       19
25          79257258     38571895       21
26         148384221     78328557       22
27         247559981    128770638       20
28         416487877    297733221       20
29         400326326    277843701       21
30         556720775    441103920       20
31         464059535    416356634       20
32         164997482    141027894       20
33          87607915     83563529       15
34          12459736     12168076       12
35            759580       748888        5
36             42252        42252        0
37                 0            0        0
EXTINCT at n=37 (no tame avoiders)
total nodes visited: 2654502055
