  SAT       [1, 3, 4, 10, 77] (2s)
*** DEPTH-5 FEASIBLE (exception branch): [1, 3, 4, 10, 77]
  SAT       [1, 3, 4, 10, 78] (5s)
*** DEPTH-5 FEASIBLE (exception branch): [1, 3, 4, 10, 78]
  SAT       [1, 3, 4, 10, 79] (4s)
*** DEPTH-5 FEASIBLE (exception branch): [1, 3, 4, 10, 79]
  SAT       [1, 3, 4, 10, 80] (2s)
*** DEPTH-5 FEASIBLE (exception branch): [1, 3, 4, 10, 80]
  SAT       [1, 3, 4, 10, 81] (3s)
*** DEPTH-5 FEASIBLE (exception branch): [1, 3, 4, 10, 81]
  SAT       [1, 3, 4, 10, 82] (5s)
*** DEPTH-5 FEASIBLE (exception branch): [1, 3, 4, 10, 82]
  SAT       [1, 3, 4, 10, 83] (3s)
*** DEPTH-5 FEASIBLE (exception branch): [1, 3, 4, 10, 83]
  SAT       [1, 3, 4, 10, 84] (6s)
*** DEPTH-5 FEASIBLE (exception branch): [1, 3, 4, 10, 84]
  SAT       [1, 3, 4, 10, 85] (10s)
*** DEPTH-5 FEASIBLE (exception branch): [1, 3, 4, 10, 85]
  SAT       [1, 3, 4, 10, 86] (5s)
*** DEPTH-5 FEASIBLE (exception branch): [1, 3, 4, 10, 86]
  SAT       [1, 3, 4, 10, 87] (6s)
*** DEPTH-5 FEASIBLE (exception branch): [1, 3, 4, 10, 87]
  SAT       [1, 3, 4, 10, 88] (11s)
*** DEPTH-5 FEASIBLE (exception branch): [1, 3, 4, 10, 88]
  SAT       [1, 3, 4, 10, 89] (28s)
*** DEPTH-5 FEASIBLE (exception branch): [1, 3, 4, 10, 89]
  SAT       [1, 3, 4, 10, 90] (19s)
*** DEPTH-5 FEASIBLE (exception branch): [1, 3, 4, 10, 90]
  SAT       [1, 3, 4, 10, 91] (26s)
*** DEPTH-5 FEASIBLE (exception branch): [1, 3, 4, 10, 91]
  SAT       [1, 3, 4, 10, 92] (25s)
*** DEPTH-5 FEASIBLE (exception branch): [1, 3, 4, 10, 92]
  SAT       [1, 3, 4, 10, 93] (11s)
*** DEPTH-5 FEASIBLE (exception branch): [1, 3, 4, 10, 93]
  SAT       [1, 3, 4, 10, 94] (30s)
*** DEPTH-5 FEASIBLE (exception branch): [1, 3, 4, 10, 94]
  SAT       [1, 3, 4, 10, 95] (15s)
*** DEPTH-5 FEASIBLE (exception branch): [1, 3, 4, 10, 95]
  SAT       [1, 3, 4, 10, 96] (63s)
*** DEPTH-5 FEASIBLE (exception branch): [1, 3, 4, 10, 96]
  SAT       [1, 3, 4, 10, 97] (48s)
*** DEPTH-5 FEASIBLE (exception branch): [1, 3, 4, 10, 97]
